id,type,location,strike,reconnaissance,assessment,ammunition,time,value
TASK01,1,"(37.45,95.07)",0.75,0.29,0.02,3,0,0.38
TASK02,1,"(73.19,59.87)",0.89,0.18,0.02,3,0,0.73
TASK03,1,"(15.60,15.59)",0.84,0.09,0.12,2,0,0.43
TASK04,1,"(15.55,0.58)",0.95,0.22,0.12,3,0,0.02
TASK05,1,"(86.61,60.11)",0.88,0.16,0.11,4,0,0.04
TASK11,2,"(70.80,21.23)",0.12,0.73,0.27,0,0.21,0.38
TASK12,2,"(83.24,74.34)",0.22,0.74,0.27,0,0.22,0.91
TASK13,2,"(63.69,87.18)",0.18,0.95,0.16,0,0.12,0.37
TASK14,2,"(72.15,18.18)",0.11,0.90,0.32,0,0.24,0.53
TASK15,2,"(88.01,34.21)",0.08,0.81,0.08,0,0.24,0.63
TASK21,3,"(23.45,30.47)",0.02,0.04,0.87,0,0.14,0.25
TASK22,3,"(54.56,1.56)",0.25,0.23,0.82,0,0.12,0.21
TASK23,3,"(37.04,60.75)",0.05,0.25,0.95,0,0.24,0.26
TASK24,3,"(92.18,64.44)",0.19,0.32,0.89,0,0.12,0.72
TASK25,3,"(77.13,52.04)",0.15,0.21,0.72,0,0.14,0.8
TASK06,1,"(48.81,36.56)",0.85,0.01,0.12,2,0,0.03
TASK07,1,"(85.22,25.32)",0.98,0.22,0.27,3,0,0.37
TASK08,1,"(77.83,78.81)",0.85,0.16,0.26,2,0,0.56
TASK09,1,"(19.81,47.35)",0.77,0.01,0.08,4,0,0.09
TASK10,1,"(96.45,97.51)",0.85,0.28,0.18,1,0,0.9
TASK16,2,"(53.16,40.87)",0.01,0.89,0.05,0,0.12,0.06
TASK17,2,"(23.28,61.47)",0.04,0.75,0.18,0,0.12,0.06
TASK18,2,"(29.17,46.65)",0.22,0.77,0.17,0,0.24,0.27
TASK19,2,"(0.55,37.57)",0.16,0.88,0.24,0,0.14,0.14
TASK20,2,"(33.63,63.23)",0.15,0.91,0.04,0,0.14,0.36
TASK26,3,"(63.64,38.54)",0.22,0.22,0.85,0,0.14,0.06
TASK27,3,"(47.58,52.03)",0.11,0.26,0.92,0,0.14,0.67
TASK28,3,"(42.21,64.14)",0.12,0.12,0.88,0,0.14,0.96
TASK29,3,"(52.06,49.37)",0.12,0.01,0.91,0,0.14,0.87
TASK30,3,"(38.17,50.55)",0.26,0.09,0.76,0,0.24,0.34
TASK31,1,"(23.56,78.91)",0.82,0.15,0.05,3,0,0.45
TASK32,1,"(67.21,45.32)",0.91,0.22,0.12,2,0,0.78
TASK33,1,"(12.89,90.45)",0.79,0.08,0.11,4,0,0.23
TASK34,1,"(89.76,15.67)",0.88,0.25,0.09,1,0,0.67
TASK35,1,"(45.32,67.89)",0.93,0.17,0.13,3,0,0.08
TASK36,1,"(92.45,34.56)",0.85,0.03,0.15,2,0,0.54
TASK37,1,"(34.56,89.21)",0.95,0.21,0.22,3,0,0.32
TASK38,1,"(56.78,23.45)",0.77,0.19,0.18,4,0,0.89
TASK39,1,"(78.91,56.78)",0.81,0.05,0.07,1,0,0.41
TASK40,1,"(10.12,67.89)",0.90,0.27,0.14,2,0,0.71
TASK41,2,"(87.65,34.56)",0.11,0.78,0.15,0,0.15,0.12
TASK42,2,"(23.45,98.76)",0.18,0.89,0.28,0,0.22,0.85
TASK43,2,"(56.78,12.34)",0.09,0.75,0.21,0,0.18,0.67
TASK44,2,"(78.91,45.67)",0.14,0.92,0.30,0,0.24,0.54
TASK45,2,"(34.56,67.89)",0.17,0.83,0.19,0,0.16,0.90
TASK46,2,"(90.12,23.45)",0.05,0.79,0.08,0,0.12,0.32
TASK47,2,"(45.67,89.01)",0.20,0.87,0.25,0,0.21,0.43
TASK48,2,"(67.89,10.12)",0.13,0.81,0.17,0,0.24,0.78
TASK49,2,"(12.34,56.78)",0.16,0.90,0.29,0,0.14,0.19
TASK50,2,"(89.01,78.91)",0.07,0.76,0.12,0,0.22,0.56
TASK51,3,"(34.56,45.67)",0.13,0.15,0.78,0,0.14,0.12
TASK52,3,"(78.91,23.45)",0.22,0.21,0.92,0,0.21,0.90
TASK53,3,"(12.34,89.01)",0.09,0.18,0.85,0,0.16,0.67
TASK54,3,"(56.78,67.89)",0.17,0.23,0.79,0,0.12,0.82
TASK55,3,"(90.12,10.12)",0.25,0.15,0.88,0,0.24,0.75
TASK56,3,"(23.45,56.78)",0.11,0.22,0.90,0,0.14,0.06
TASK57,3,"(67.89,34.56)",0.14,0.19,0.76,0,0.21,0.34
TASK58,3,"(45.67,90.12)",0.08,0.25,0.95,0,0.18,0.96
TASK59,3,"(89.01,45.67)",0.20,0.12,0.89,0,0.14,0.87
TASK60,3,"(10.12,78.91)",0.16,0.26,0.72,0,0.24,0.53
TASK61,1,"(18.45,76.23)",0.89,0.12,0.08,3,0,0.52
TASK62,1,"(73.12,29.56)",0.94,0.07,0.11,2,0,0.38
TASK63,1,"(45.89,91.34)",0.82,0.19,0.05,4,0,0.71
TASK64,1,"(92.67,15.89)",0.91,0.23,0.12,1,0,0.29
TASK65,1,"(23.56,54.78)",0.87,0.09,0.06,3,0,0.64
TASK66,1,"(56.34,82.15)",0.95,0.15,0.09,2,0,0.43
TASK67,1,"(87.65,32.41)",0.84,0.21,0.13,4,0,0.82
TASK68,1,"(12.78,67.90)",0.92,0.05,0.07,1,0,0.35
TASK69,1,"(65.43,21.87)",0.88,0.17,0.08,3,0,0.59
TASK70,1,"(34.90,78.56)",0.96,0.11,0.10,2,0,0.67
TASK71,2,"(45.23,61.78)",0.15,0.89,0.22,0,0.18,0.45
TASK72,2,"(89.65,34.21)",0.09,0.92,0.27,0,0.22,0.78
TASK73,2,"(21.78,56.90)",0.18,0.85,0.19,0,0.15,0.32
TASK74,2,"(76.54,12.34)",0.12,0.88,0.25,0,0.24,0.61
TASK75,2,"(32.89,87.45)",0.07,0.91,0.17,0,0.16,0.53
TASK76,2,"(54.12,29.67)",0.14,0.83,0.23,0,0.21,0.82
TASK77,2,"(90.34,76.54)",0.19,0.87,0.20,0,0.13,0.41
TASK78,2,"(16.78,43.21)",0.08,0.93,0.28,0,0.23,0.69
TASK79,2,"(67.54,90.12)",0.13,0.84,0.18,0,0.17,0.35
TASK80,2,"(29.87,54.32)",0.11,0.86,0.24,0,0.20,0.74
TASK81,3,"(78.45,23.67)",0.12,0.18,0.89,0,0.16,0.27
TASK82,3,"(34.78,65.90)",0.21,0.23,0.92,0,0.22,0.63
TASK83,3,"(56.12,89.45)",0.09,0.15,0.85,0,0.14,0.41
TASK84,3,"(91.65,12.78)",0.17,0.20,0.88,0,0.24,0.58
TASK85,3,"(23.90,45.32)",0.14,0.19,0.91,0,0.18,0.35
TASK86,3,"(67.45,78.12)",0.23,0.16,0.83,0,0.21,0.72
TASK87,3,"(12.34,56.89)",0.11,0.22,0.87,0,0.15,0.49
TASK88,3,"(89.76,34.56)",0.18,0.17,0.93,0,0.23,0.65
TASK89,3,"(45.23,90.78)",0.15,0.24,0.84,0,0.17,0.39
TASK90,3,"(76.89,21.45)",0.20,0.14,0.86,0,0.20,0.54
TASK91,1,"(32.56,67.89)",0.85,0.14,0.09,3,0,0.62
TASK92,1,"(87.45,12.34)",0.93,0.08,0.12,2,0,0.47
TASK93,1,"(54.12,90.78)",0.88,0.20,0.07,4,0,0.75
TASK94,1,"(21.78,34.56)",0.95,0.11,0.10,1,0,0.32
TASK95,1,"(67.89,45.67)",0.83,0.16,0.06,3,0,0.58
TASK96,1,"(12.34,78.90)",0.92,0.05,0.08,2,0,0.69
TASK97,1,"(78.90,56.12)",0.86,0.19,0.11,4,0,0.43
TASK98,1,"(45.67,21.34)",0.94,0.13,0.09,1,0,0.72
TASK99,1,"(34.56,89.01)",0.89,0.07,0.05,3,0,0.38
TASK100,1,"(65.43,12.78)",0.91,0.22,0.13,2,0,0.55
TASK101,2,"(90.12,34.56)",0.16,0.88,0.21,0,0.19,0.63
TASK102,2,"(23.45,67.89)",0.10,0.91,0.26,0,0.23,0.47
TASK103,2,"(76.54,90.12)",0.17,0.84,0.18,0,0.16,0.78
TASK104,2,"(12.78,45.67)",0.08,0.89,0.24,0,0.22,0.35
TASK105,2,"(56.89,23.45)",0.13,0.86,0.20,0,0.17,0.59
TASK106,2,"(89.01,76.54)",0.15,0.83,0.27,0,0.21,0.68
TASK107,2,"(34.56,12.78)",0.09,0.92,0.19,0,0.14,0.42
TASK108,2,"(67.89,56.89)",0.18,0.87,0.23,0,0.24,0.71
TASK109,2,"(21.34,89.01)",0.11,0.85,0.25,0,0.18,0.39
TASK110,2,"(78.90,45.32)",0.14,0.90,0.22,0,0.20,0.54
TASK111,3,"(54.32,21.78)",0.13,0.20,0.88,0,0.15,0.41
TASK112,3,"(89.01,67.45)",0.22,0.17,0.91,0,0.23,0.67
TASK113,3,"(34.56,90.12)",0.10,0.23,0.85,0,0.17,0.35
TASK114,3,"(65.43,12.34)",0.18,0.15,0.89,0,0.21,0.58
TASK115,3,"(21.78,56.78)",0.15,0.19,0.86,0,0.16,0.72
TASK116,3,"(76.54,34.56)",0.20,0.22,0.83,0,0.24,0.49
TASK117,3,"(12.34,89.65)",0.12,0.16,0.92,0,0.14,0.63
TASK118,3,"(56.78,23.45)",0.19,0.14,0.87,0,0.20,0.38
TASK119,3,"(87.65,76.54)",0.14,0.24,0.84,0,0.18,0.55
TASK120,3,"(45.67,12.78)",0.21,0.18,0.88,0,0.22,0.70
TASK121,1,"(67.89,89.01)",0.87,0.12,0.09,3,0,0.53
TASK122,1,"(23.45,45.67)",0.94,0.08,0.11,2,0,0.37
TASK123,1,"(78.90,12.34)",0.85,0.19,0.06,4,0,0.68
TASK124,1,"(34.56,67.89)",0.92,0.13,0.10,1,0,0.42
TASK125,1,"(89.01,56.78)",0.88,0.05,0.08,3,0,0.71
TASK126,1,"(45.67,23.45)",0.95,0.17,0.12,2,0,0.59
TASK127,1,"(12.34,90.12)",0.83,0.21,0.07,4,0,0.35
TASK128,1,"(65.43,34.56)",0.91,0.09,0.05,1,0,0.64
TASK129,1,"(21.78,76.54)",0.89,0.15,0.13,3,0,0.48
TASK130,1,"(76.54,45.67)",0.93,0.11,0.08,2,0,0.73
TASK131,2,"(54.32,89.01)",0.15,0.89,0.22,0,0.18,0.61
TASK132,2,"(12.78,34.56)",0.10,0.92,0.25,0,0.23,0.45
TASK133,2,"(67.89,21.78)",0.17,0.85,0.19,0,0.16,0.77
TASK134,2,"(23.45,78.90)",0.08,0.88,0.26,0,0.21,0.39
TASK135,2,"(78.90,65.43)",0.13,0.86,0.20,0,0.17,0.58
TASK136,2,"(34.56,12.34)",0.16,0.83,0.23,0,0.22,0.69
TASK137,2,"(89.01,56.78)",0.09,0.90,0.18,0,0.15,0.43
TASK138,2,"(45.67,90.12)",0.18,0.87,0.24,0,0.24,0.72
TASK139,2,"(12.34,45.67)",0.11,0.84,0.27,0,0.19,0.36
TASK140,2,"(65.43,23.45)",0.14,0.89,0.21,0,0.20,0.55
TASK141,3,"(90.12,76.54)",0.14,0.19,0.89,0,0.16,0.42
TASK142,3,"(23.45,56.78)",0.21,0.22,0.91,0,0.23,0.68
TASK143,3,"(76.54,34.56)",0.11,0.17,0.85,0,0.17,0.37
TASK144,3,"(34.56,12.78)",0.18,0.23,0.88,0,0.21,0.59
TASK145,3,"(87.65,67.89)",0.15,0.15,0.86,0,0.18,0.73
TASK146,3,"(45.67,90.12)",0.20,0.18,0.83,0,0.24,0.50
TASK147,3,"(12.78,21.34)",0.12,0.24,0.92,0,0.15,0.64
TASK148,3,"(56.78,78.90)",0.19,0.16,0.87,0,0.20,0.39
TASK149,3,"(89.01,45.67)",0.13,0.20,0.84,0,0.19,0.56
TASK150,3,"(34.56,12.34)",0.22,0.14,0.88,0,0.22,0.71
TASK151,1,"(78.90,89.01)",0.88,0.13,0.08,3,0,0.54
TASK152,1,"(21.34,45.67)",0.93,0.07,0.10,2,0,0.39
TASK153,1,"(65.43,12.78)",0.86,0.18,0.07,4,0,0.69
TASK154,1,"(34.56,76.54)",0.91,0.11,0.12,1,0,0.44
TASK155,1,"(87.65,56.78)",0.84,0.06,0.09,3,0,0.72
TASK156,1,"(45.67,23.45)",0.95,0.16,0.05,2,0,0.60
TASK157,1,"(12.78,90.12)",0.82,0.20,0.11,4,0,0.36
TASK158,1,"(56.78,34.56)",0.92,0.09,0.08,1,0,0.65
TASK159,1,"(89.01,78.90)",0.87,0.14,0.13,3,0,0.49
TASK160,1,"(34.56,65.43)",0.94,0.12,0.07,2,0,0.74
TASK161,2,"(67.89,21.34)",0.16,0.88,0.21,0,0.19,0.62
TASK162,2,"(23.45,78.90)",0.10,0.91,0.26,0,0.23,0.46
TASK163,2,"(76.54,90.12)",0.17,0.84,0.18,0,0.16,0.78
TASK164,2,"(12.34,45.67)",0.08,0.89,0.24,0,0.22,0.36
TASK165,2,"(56.78,23.45)",0.13,0.86,0.20,0,0.17,0.59
TASK166,2,"(89.01,76.54)",0.15,0.83,0.27,0,0.21,0.69
TASK167,2,"(34.56,12.78)",0.09,0.92,0.19,0,0.14,0.43
TASK168,2,"(67.89,56.78)",0.18,0.87,0.23,0,0.24,0.72
TASK169,2,"(21.34,89.01)",0.11,0.85,0.25,0,0.18,0.40
TASK170,2,"(78.90,45.32)",0.14,0.90,0.22,0,0.20,0.56
TASK171,3,"(54.32,21.78)",0.13,0.20,0.88,0,0.15,0.42
TASK172,3,"(89.01,67.45)",0.22,0.17,0.91,0,0.23,0.68
TASK173,3,"(34.56,90.12)",0.10,0.23,0.85,0,0.17,0.36
TASK174,3,"(65.43,12.34)",0.18,0.15,0.89,0,0.21,0.59
TASK175,3,"(21.78,56.78)",0.15,0.19,0.86,0,0.16,0.73
TASK176,3,"(76.54,34.56)",0.20,0.22,0.83,0,0.24,0.50
TASK177,3,"(12.34,89.65)",0.12,0.16,0.92,0,0.14,0.64
TASK178,3,"(56.78,23.45)",0.19,0.14,0.87,0,0.20,0.39
TASK179,3,"(87.65,76.54)",0.14,0.24,0.84,0,0.18,0.56
TASK180,3,"(45.67,12.78)",0.21,0.18,0.88,0,0.22,0.71
TASK181,1,"(67.89,89.01)",0.87,0.12,0.09,3,0,0.53
TASK182,1,"(23.45,45.67)",0.94,0.08,0.11,2,0,0.37
TASK183,1,"(78.90,12.34)",0.85,0.19,0.06,4,0,0.68
TASK184,1,"(34.56,67.89)",0.92,0.13,0.10,1,0,0.42
TASK185,1,"(89.01,56.78)",0.88,0.05,0.08,3,0,0.71
TASK186,1,"(45.67,23.45)",0.95,0.17,0.12,2,0,0.59
TASK187,1,"(12.34,90.12)",0.83,0.21,0.07,4,0,0.35
TASK188,1,"(65.43,34.56)",0.91,0.09,0.05,1,0,0.64
TASK189,1,"(21.78,76.54)",0.89,0.15,0.13,3,0,0.48
TASK190,1,"(76.54,45.67)",0.93,0.11,0.08,2,0,0.73
TASK191,2,"(54.32,89.01)",0.15,0.89,0.22,0,0.18,0.61
TASK192,2,"(12.78,34.56)",0.10,0.92,0.25,0,0.23,0.45
TASK193,2,"(67.89,21.78)",0.17,0.85,0.19,0,0.16,0.77
TASK194,2,"(23.45,78.90)",0.08,0.88,0.26,0,0.21,0.39
TASK195,2,"(78.90,65.43)",0.13,0.86,0.20,0,0.17,0.58
TASK196,2,"(34.56,12.34)",0.16,0.83,0.23,0,0.22,0.69
TASK197,2,"(89.01,56.78)",0.09,0.90,0.18,0,0.15,0.43
TASK198,2,"(45.67,90.12)",0.18,0.87,0.24,0,0.24,0.72
TASK199,2,"(12.34,45.67)",0.11,0.84,0.27,0,0.19,0.36
TASK200,2,"(65.43,23.45)",0.14,0.89,0.21,0,0.20,0.55
TASK201,3,"(90.12,76.54)",0.14,0.19,0.89,0,0.16,0.42
TASK202,3,"(23.45,56.78)",0.21,0.22,0.91,0,0.23,0.68
TASK203,3,"(76.54,34.56)",0.11,0.17,0.85,0,0.17,0.37
TASK204,3,"(34.56,12.78)",0.18,0.23,0.88,0,0.21,0.59
TASK205,3,"(87.65,67.89)",0.15,0.15,0.86,0,0.18,0.73
TASK206,3,"(45.67,90.12)",0.20,0.18,0.83,0,0.24,0.50
TASK207,3,"(12.78,21.34)",0.12,0.24,0.92,0,0.15,0.64
TASK208,3,"(56.78,78.90)",0.19,0.16,0.87,0,0.20,0.39
TASK209,3,"(89.01,45.67)",0.13,0.20,0.84,0,0.19,0.56
TASK210,3,"(34.56,12.34)",0.22,0.14,0.88,0,0.22,0.71
TASK211,1,"(78.90,89.01)",0.88,0.13,0.08,3,0,0.54
TASK212,1,"(21.34,45.67)",0.93,0.07,0.10,2,0,0.39
TASK213,1,"(65.43,12.78)",0.86,0.18,0.07,4,0,0.69
TASK214,1,"(34.56,76.54)",0.91,0.11,0.12,1,0,0.44
TASK215,1,"(87.65,56.78)",0.84,0.06,0.09,3,0,0.72
TASK216,1,"(45.67,23.45)",0.95,0.16,0.05,2,0,0.60
TASK217,1,"(12.78,90.12)",0.82,0.20,0.11,4,0,0.36
TASK218,1,"(56.78,34.56)",0.92,0.09,0.08,1,0,0.65
TASK219,1,"(89.01,78.90)",0.87,0.14,0.13,3,0,0.49
TASK220,1,"(34.56,65.43)",0.94,0.12,0.07,2,0,0.74
TASK221,2,"(67.89,21.34)",0.16,0.88,0.21,0,0.19,0.62
