id,type,location,strike,reconnaissance,assessment,ammunition,time,value
TASK01,1,"(37.45,95.07)",0.75,0.29,0.02,3,0,0.38
TASK02,1,"(73.19,59.87)",0.89,0.18,0.02,3,0,0.73
TASK03,1,"(15.60,15.59)",0.84,0.09,0.12,2,0,0.43
TASK04,1,"(15.55,0.58)",0.95,0.22,0.12,3,0,0.02
TASK05,1,"(86.61,60.11)",0.88,0.16,0.11,4,0,0.04
TASK11,2,"(70.80,21.23)",0.12,0.73,0.27,0,0.21,0.38
TASK12,2,"(83.24,74.34)",0.22,0.74,0.27,0,0.22,0.91
TASK13,2,"(63.69,87.18)",0.18,0.95,0.16,0,0.12,0.37
TASK14,2,"(72.15,18.18)",0.11,0.90,0.32,0,0.24,0.53
TASK15,2,"(88.01,34.21)",0.08,0.81,0.08,0,0.24,0.63
TASK21,3,"(23.45,30.47)",0.02,0.04,0.87,0,0.14,0.25
TASK22,3,"(54.56,1.56)",0.25,0.23,0.82,0,0.12,0.21
TASK23,3,"(37.04,60.75)",0.05,0.25,0.95,0,0.24,0.26
TASK24,3,"(92.18,64.44)",0.19,0.32,0.89,0,0.12,0.72
TASK25,3,"(77.13,52.04)",0.15,0.21,0.72,0,0.14,0.8
TASK06,1,"(48.81,36.56)",0.85,0.01,0.12,2,0,0.03
TASK07,1,"(85.22,25.32)",0.98,0.22,0.27,3,0,0.37
TASK08,1,"(77.83,78.81)",0.85,0.16,0.26,2,0,0.56
TASK09,1,"(19.81,47.35)",0.77,0.01,0.08,4,0,0.09
TASK10,1,"(96.45,97.51)",0.85,0.28,0.18,1,0,0.9
TASK16,2,"(53.16,40.87)",0.01,0.89,0.05,0,0.12,0.06
TASK17,2,"(23.28,61.47)",0.04,0.75,0.18,0,0.12,0.06
TASK18,2,"(29.17,46.65)",0.22,0.77,0.17,0,0.24,0.27
TASK19,2,"(0.55,37.57)",0.16,0.88,0.24,0,0.14,0.14
TASK20,2,"(33.63,63.23)",0.15,0.91,0.04,0,0.14,0.36
TASK26,3,"(63.64,38.54)",0.22,0.22,0.85,0,0.14,0.06
TASK27,3,"(47.58,52.03)",0.11,0.26,0.92,0,0.14,0.67
TASK28,3,"(42.21,64.14)",0.12,0.12,0.88,0,0.14,0.96
TASK29,3,"(52.06,49.37)",0.12,0.01,0.91,0,0.14,0.87
TASK30,3,"(38.17,50.55)",0.26,0.09,0.76,0,0.24,0.34

TASK01,1,"(95.74,96.10)",0.75,0.29,0.02,3,0,0.38
TASK02,1,"(80.33,88.26)",0.89,0.18,0.02,3,0,0.73
TASK03,1,"(92.78,90.41)",0.84,0.09,0.12,2,0,0.43
TASK04,1,"(86.98,91.84)",0.95,0.22,0.12,3,0,0.02
TASK05,1,"(90.83,96.13)",0.88,0.16,0.11,4,0,0.04
TASK11,2,"(80.47,81.44)",0.12,0.73,0.27,0,0.21,0.38
TASK12,2,"(82.41,80.78)",0.22,0.74,0.27,0,0.22,0.91
TASK13,2,"(90.74,95.29)",0.18,0.95,0.16,0,0.12,0.37
TASK14,2,"(91.74,96.32)",0.11,0.90,0.32,0,0.24,0.53
TASK15,2,"(82.62,83.64)",0.08,0.81,0.08,0,0.24,0.63
TASK21,3,"(91.22,68.16)",0.02,0.04,0.87,0,0.14,0.25
TASK22,3,"(91.42,53.06)",0.25,0.23,0.82,0,0.12,0.21
TASK23,3,"(80.62,90.83)",0.05,0.25,0.95,0,0.24,0.26
TASK24,3,"(94.73,91.83)",0.19,0.32,0.89,0,0.12,0.72
TASK25,3,"(80.07,63.52)",0.15,0.21,0.72,0,0.14,0.8
TASK06,1,"(85.49,90.32)",0.85,0.01,0.12,2,0,0.03
TASK07,1,"(90.74,90.51)",0.98,0.22,0.27,3,0,0.37
TASK08,1,"(80.76,98.22)",0.85,0.16,0.26,2,0,0.56
TASK09,1,"(90.03,91.62)",0.77,0.01,0.08,4,0,0.09
TASK10,1,"(88.16,92.92)",0.85,0.28,0.18,1,0,0.9
TASK16,2,"(91.24,82.81)",0.01,0.89,0.05,0,0.12,0.06
TASK17,2,"(90.62,87.54)",0.04,0.75,0.18,0,0.12,0.06
TASK18,2,"(86.82,82.96)",0.22,0.77,0.17,0,0.24,0.27
TASK19,2,"(86.32,68.23)",0.16,0.88,0.24,0,0.14,0.14
TASK20,2,"(95.82,71.83)",0.15,0.91,0.04,0,0.14,0.36
TASK26,3,"(93.94,58.82)",0.22,0.22,0.85,0,0.14,0.06
TASK27,3,"(87.21,73.69)",0.11,0.26,0.92,0,0.14,0.67
TASK28,3,"(90.26,70.65)",0.12,0.12,0.88,0,0.14,0.96
TASK29,3,"(90.38,88.46)",0.12,0.01,0.91,0,0.14,0.87
TASK30,3,"(82.15,91.54)",0.26,0.09,0.76,0,0.24,0.34
TASK31,1,"(88.75,92.34)",0.82,0.15,0.05,3,0,0.45
TASK32,1,"(91.23,89.45)",0.91,0.22,0.12,2,0,0.78
TASK33,1,"(85.67,95.12)",0.79,0.08,0.11,4,0,0.23
TASK34,1,"(93.45,87.65)",0.88,0.25,0.09,1,0,0.67
TASK35,1,"(87.92,94.31)",0.93,0.17,0.13,3,0,0.08
TASK36,1,"(92.15,88.76)",0.85,0.03,0.15,2,0,0.54
TASK37,1,"(86.42,96.83)",0.95,0.21,0.22,3,0,0.32
TASK38,1,"(90.78,85.43)",0.77,0.19,0.18,4,0,0.89
TASK39,1,"(89.32,91.56)",0.81,0.05,0.07,1,0,0.41
TASK40,1,"(85.23,93.78)",0.90,0.27,0.14,2,0,0.71
TASK41,2,"(75.23,88.45)",0.11,0.78,0.15,0,0.15,0.12
TASK42,2,"(89.32,76.12)",0.18,0.89,0.28,0,0.22,0.85
TASK43,2,"(78.45,82.36)",0.09,0.75,0.21,0,0.18,0.67
TASK44,2,"(92.15,79.34)",0.14,0.92,0.30,0,0.24,0.54
TASK45,2,"(81.26,77.58)",0.17,0.83,0.19,0,0.16,0.90
TASK46,2,"(76.34,85.21)",0.05,0.79,0.08,0,0.12,0.32
TASK47,2,"(83.56,72.43)",0.20,0.87,0.25,0,0.21,0.43
TASK48,2,"(79.12,86.35)",0.13,0.81,0.17,0,0.24,0.78
TASK49,2,"(87.65,69.23)",0.16,0.90,0.29,0,0.14,0.19
TASK50,2,"(84.32,75.61)",0.07,0.76,0.12,0,0.22,0.56
TASK51,3,"(58.23,85.46)",0.13,0.15,0.78,0,0.14,0.12
TASK52,3,"(82.34,65.78)",0.22,0.21,0.92,0,0.21,0.90
TASK53,3,"(65.78,83.21)",0.09,0.18,0.85,0,0.16,0.67
TASK54,3,"(78.45,59.32)",0.17,0.23,0.79,0,0.12,0.82
TASK55,3,"(85.67,53.41)",0.25,0.15,0.88,0,0.24,0.75
TASK56,3,"(62.15,88.76)",0.11,0.22,0.90,0,0.14,0.06
TASK57,3,"(73.69,81.25)",0.14,0.19,0.76,0,0.21,0.34
TASK58,3,"(59.42,87.31)",0.08,0.25,0.95,0,0.18,0.96
TASK59,3,"(80.75,56.23)",0.20,0.12,0.89,0,0.14,0.87
TASK60,3,"(76.12,89.54)",0.16,0.26,0.72,0,0.24,0.53
