id,type,location,strike,reconnaissance,assessment,ammunition,time,voyage,speed,value
UAV01,1,"(12.89,5.0)",0.78,0.07,0.22,9,0,154,1.5,0.42
UAV02,1,"(5.96,4.73)",0.85,0.01,0.06,9,0,171,2.0,0.45
UAV05,2,"(1.62,7.71)",0.17,0.85,0.19,0,0.5,175,1.5,0.7
UAV06,2,"(9.16,4.58)",0.09,0.72,0.07,0,0.7,164,2.0,0.45
UAV08,3,"(3.23,5.83)",0.05,0.11,0.85,0,0.8,152,1.5,0.22
UAV03,1,"(5.64,7.86)",0.93,0.05,0.13,8,0,179,2.0,0.96
UAV04,1,"(6.32,8.55)",0.73,0.25,0.18,7,0,183,1.5,0.54
UAV07,2,"(6.82,2.53)",0.11,0.82,0.21,0,0.8,131,2.0,0.61
UAV09,3,"(6.86,3.66)",0.02,0.25,0.94,0,0.6,137,1.5,0.21
UAV10,3,"(8.58,7.27)",0.09,0.20,0.82,0,0.5,134,2.0,0.26
UAV11,1,"(7.89,6.52)",0.81,0.12,0.15,9,0,168,2.0,0.38
UAV12,1,"(8.23,7.15)",0.76,0.09,0.18,8,0,173,1.5,0.52
UAV13,1,"(9.14,5.36)",0.89,0.03,0.11,7,0,180,2.0,0.49
UAV14,1,"(6.57,8.21)",0.75,0.22,0.16,9,0,159,1.5,0.63
UAV15,2,"(2.35,6.84)",0.19,0.81,0.23,0,0.6,169,2.0,0.58
UAV16,2,"(8.72,3.51)",0.14,0.78,0.15,0,0.5,158,1.5,0.65
UAV17,2,"(5.61,7.23)",0.12,0.84,0.17,0,0.7,142,2.0,0.41
UAV18,2,"(3.96,4.82)",0.21,0.75,0.20,0,0.8,170,1.5,0.73
UAV19,3,"(4.12,6.35)",0.07,0.15,0.88,0,0.7,145,1.5,0.25
UAV20,3,"(7.23,5.18)",0.11,0.22,0.83,0,0.6,139,2.0,0.29
