ep,reward,success,distance,time,greedy
0,0.1604,0.1667,1427.05,789.21,0.9950
3,0.2259,0.2333,1340.59,804.40,0.9801
6,0.2297,0.2333,1409.85,718.92,0.9655
7,0.2572,0.2667,1485.95,914.47,0.9607
8,0.2911,0.3000,1427.72,759.05,0.9559
19,0.2939,0.3000,1446.62,765.56,0.9046
22,0.3548,0.3667,1457.46,903.04,0.8911
48,0.3883,0.4000,1395.90,848.94,0.7822
49,0.4196,0.4333,1429.26,726.00,0.7783
50,0.4478,0.4667,1335.74,739.49,0.7744
103,0.4505,0.4667,1341.38,870.91,0.5937
110,0.4859,0.5000,1212.35,693.73,0.5733
128,0.5197,0.5333,1292.20,826.73,0.5238
147,0.6460,0.6667,1353.85,805.48,0.4762
173,0.6795,0.7000,1321.22,797.05,0.4180
230,0.6810,0.7000,1379.60,705.54,0.3141
247,0.7168,0.7333,1295.70,919.27,0.2885
252,0.7443,0.7667,1405.69,782.79,0.2813
260,0.7452,0.7667,1431.38,881.79,0.2703
302,0.7498,0.7667,1365.45,733.53,0.2190
318,0.7771,0.8000,1384.78,822.31,0.2021
335,0.8401,0.8667,1336.02,751.99,0.1856
347,0.8453,0.8667,1406.47,787.10,0.1748
349,0.8755,0.9000,1380.11,765.98,0.1730
397,0.8790,0.9000,1346.20,809.71,0.1360
477,0.9086,0.9333,1327.62,765.79,0.0911
507,0.9406,0.9667,1350.56,797.70,0.0784
649,0.9419,0.9667,1317.91,722.37,0.0385
702,0.9763,1.0000,1306.94,764.33,0.0295
