Episode 0 | Total Reward: 0.10 | Total Fitness: 0.22 | Total Distance: 1437.08 | Total Time: 779.47 | Total Success : 0.10 | Epsilon: 0.995
Episode 1 | Total Reward: 0.13 | Total Fitness: 0.22 | Total Distance: 1301.88 | Total Time: 851.23 | Total Success : 0.13 | Epsilon: 0.990
Episode 2 | Total Reward: 0.15 | Total Fitness: 0.37 | Total Distance: 1481.14 | Total Time: 892.67 | Total Success : 0.17 | Epsilon: 0.985
Episode 3 | Total Reward: 0.22 | Total Fitness: 0.38 | Total Distance: 1582.16 | Total Time: 857.64 | Total Success : 0.23 | Epsilon: 0.980
Episode 4 | Total Reward: 0.26 | Total Fitness: 0.51 | Total Distance: 1440.76 | Total Time: 784.61 | Total Success : 0.27 | Epsilon: 0.975
Episode 25 | Total Reward: 0.29 | Total Fitness: 0.44 | Total Distance: 1436.00 | Total Time: 722.98 | Total Success : 0.30 | Epsilon: 0.878
Episode 36 | Total Reward: 0.32 | Total Fitness: 0.50 | Total Distance: 1391.38 | Total Time: 709.20 | Total Success : 0.33 | Epsilon: 0.831
Episode 40 | Total Reward: 0.42 | Total Fitness: 0.54 | Total Distance: 1422.31 | Total Time: 814.13 | Total Success : 0.43 | Epsilon: 0.814
Episode 55 | Total Reward: 0.52 | Total Fitness: 0.67 | Total Distance: 1413.38 | Total Time: 749.99 | Total Success : 0.53 | Epsilon: 0.755
Episode 86 | Total Reward: 0.52 | Total Fitness: 0.61 | Total Distance: 1273.59 | Total Time: 732.61 | Total Success : 0.53 | Epsilon: 0.647
Episode 123 | Total Reward: 0.52 | Total Fitness: 0.58 | Total Distance: 1395.98 | Total Time: 742.72 | Total Success : 0.53 | Epsilon: 0.537
Episode 133 | Total Reward: 0.54 | Total Fitness: 0.85 | Total Distance: 1367.96 | Total Time: 857.25 | Total Success : 0.57 | Epsilon: 0.511
Episode 137 | Total Reward: 0.58 | Total Fitness: 0.67 | Total Distance: 1401.99 | Total Time: 804.74 | Total Success : 0.60 | Epsilon: 0.501
Episode 145 | Total Reward: 0.58 | Total Fitness: 0.74 | Total Distance: 1336.63 | Total Time: 919.91 | Total Success : 0.60 | Epsilon: 0.481
Episode 161 | Total Reward: 0.61 | Total Fitness: 0.77 | Total Distance: 1386.46 | Total Time: 848.32 | Total Success : 0.63 | Epsilon: 0.444
Episode 162 | Total Reward: 0.66 | Total Fitness: 0.84 | Total Distance: 1395.62 | Total Time: 777.82 | Total Success : 0.70 | Epsilon: 0.442
Episode 232 | Total Reward: 0.71 | Total Fitness: 0.85 | Total Distance: 1415.47 | Total Time: 786.21 | Total Success : 0.73 | Epsilon: 0.311
Episode 235 | Total Reward: 0.77 | Total Fitness: 0.92 | Total Distance: 1384.87 | Total Time: 882.77 | Total Success : 0.80 | Epsilon: 0.306
Episode 297 | Total Reward: 0.83 | Total Fitness: 0.91 | Total Distance: 1392.32 | Total Time: 823.99 | Total Success : 0.87 | Epsilon: 0.225
Episode 302 | Total Reward: 0.83 | Total Fitness: 0.85 | Total Distance: 1359.60 | Total Time: 766.75 | Total Success : 0.87 | Epsilon: 0.219
Episode 357 | Total Reward: 0.83 | Total Fitness: 0.92 | Total Distance: 1371.67 | Total Time: 742.18 | Total Success : 0.87 | Epsilon: 0.166
Episode 400 | Total Reward: 0.87 | Total Fitness: 0.91 | Total Distance: 1360.56 | Total Time: 750.96 | Total Success : 0.90 | Epsilon: 0.134
Episode 448 | Total Reward: 0.89 | Total Fitness: 0.94 | Total Distance: 1406.56 | Total Time: 750.41 | Total Success : 0.93 | Epsilon: 0.105
Episode 456 | Total Reward: 0.90 | Total Fitness: 0.92 | Total Distance: 1366.19 | Total Time: 798.35 | Total Success : 0.93 | Epsilon: 0.101
Episode 509 | Total Reward: 0.90 | Total Fitness: 0.95 | Total Distance: 1362.76 | Total Time: 750.04 | Total Success : 0.93 | Epsilon: 0.078
Episode 567 | Total Reward: 0.90 | Total Fitness: 0.96 | Total Distance: 1320.77 | Total Time: 766.39 | Total Success : 0.93 | Epsilon: 0.058
Episode 576 | Total Reward: 0.92 | Total Fitness: 0.94 | Total Distance: 1358.72 | Total Time: 785.31 | Total Success : 0.97 | Epsilon: 0.055
Episode 640 | Total Reward: 0.92 | Total Fitness: 0.94 | Total Distance: 1309.91 | Total Time: 751.56 | Total Success : 0.97 | Epsilon: 0.040
Episode 642 | Total Reward: 0.93 | Total Fitness: 0.92 | Total Distance: 1339.11 | Total Time: 755.08 | Total Success : 0.97 | Epsilon: 0.040
Episode 653 | Total Reward: 0.96 | Total Fitness: 0.94 | Total Distance: 1333.20 | Total Time: 758.89 | Total Success : 1.00 | Epsilon: 0.038
Episode 703 | Total Reward: 0.96 | Total Fitness: 0.95 | Total Distance: 1314.70 | Total Time: 758.89 | Total Success : 1.00 | Epsilon: 0.029
Episode 719 | Total Reward: 0.96 | Total Fitness: 0.95 | Total Distance: 1317.56 | Total Time: 758.89 | Total Success : 1.00 | Epsilon: 0.027
Episode 725 | Total Reward: 0.96 | Total Fitness: 0.95 | Total Distance: 1299.81 | Total Time: 758.89 | Total Success : 1.00 | Epsilon: 0.026
Episode 768 | Total Reward: 0.96 | Total Fitness: 0.95 | Total Distance: 1309.82 | Total Time: 758.89 | Total Success : 1.00 | Epsilon: 0.021
